Toll Date,Day of Week,Toll Week,Time Period,Vehicle Class,CRZ Entries,Estimated Rate,Estimated Revenue
2025-01-26,Sunday,2025-01-26,Peak,Single-Unit Trucks,2782,14.4,32048.64
2025-01-26,Sunday,2025-01-26,Peak,Multi-Unit Trucks,303,21.6,5235.84
2025-01-26,Sunday,2025-01-26,Peak,Buses,2636,14.76,31125.89
2025-01-26,Sunday,2025-01-26,Peak,Motorcycles,1126,4.5,4053.6
2025-01-26,Sunday,2025-01-26,Peak,TLC Taxi/FHV,101814,1.13,92039.86
2025-01-27,Monday,2025-01-26,Overnight,Passenger Cars & Vans,39297,2.25,70734.6
2025-01-27,Monday,2025-01-26,Overnight,Single-Unit Trucks,2540,3.6,7315.2
2025-01-27,Monday,2025-01-26,Overnight,Multi-Unit Trucks,550,5.4,2376.0
2025-01-27,Monday,2025-01-26,Overnight,Buses,822,3.69,2426.54
2025-01-27,Monday,2025-01-26,Overnight,Motorcycles,187,1.05,157.08
2025-01-27,Monday,2025-01-26,Overnight,TLC Taxi/FHV,33129,1.13,29948.62
2025-01-27,Monday,2025-01-26,Peak,Passenger Cars & Vans,227144,9.0,1635436.8
2025-01-27,Monday,2025-01-26,Peak,Single-Unit Trucks,21025,14.4,242207.99
2025-01-27,Monday,2025-01-26,Peak,Multi-Unit Trucks,1947,21.6,33644.16
2025-01-27,Monday,2025-01-26,Peak,Buses,9638,14.76,113805.51
2025-01-27,Monday,2025-01-26,Peak,Motorcycles,1285,4.5,4626.0
2025-01-27,Monday,2025-01-26,Peak,TLC Taxi/FHV,128769,1.13,116407.18
2025-01-28,Tuesday,2025-01-26,Overnight,Passenger Cars & Vans,41077,2.25,73938.6
2025-01-28,Tuesday,2025-01-26,Overnight,Single-Unit Trucks,2647,3.6,7623.36
2025-01-28,Tuesday,2025-01-26,Overnight,Multi-Unit Trucks,565,5.4,2440.8
2025-01-28,Tuesday,2025-01-26,Overnight,Buses,886,3.69,2615.47
2025-01-28,Tuesday,2025-01-26,Overnight,Motorcycles,184,1.05,154.56
2025-01-28,Tuesday,2025-01-26,Overnight,TLC Taxi/FHV,38703,1.13,34987.51
2025-01-28,Tuesday,2025-01-26,Peak,Passenger Cars & Vans,236022,9.0,1699358.4
2025-01-28,Tuesday,2025-01-26,Peak,Single-Unit Trucks,21458,14.4,247196.15
2025-01-28,Tuesday,2025-01-26,Peak,Multi-Unit Trucks,1875,21.6,32400.0
2025-01-28,Tuesday,2025-01-26,Peak,Buses,9767,14.76,115328.74
2025-01-28,Tuesday,2025-01-26,Peak,Motorcycles,1417,4.5,5101.2
2025-01-28,Tuesday,2025-01-26,Peak,TLC Taxi/FHV,134268,1.13,121378.27
2025-01-29,Wednesday,2025-01-26,Overnight,Passenger Cars & Vans,41799,2.25,75238.2
2025-01-29,Wednesday,2025-01-26,Overnight,Single-Unit Trucks,2786,3.6,8023.68
2025-01-29,Wednesday,2025-01-26,Overnight,Multi-Unit Trucks,571,5.4,2466.72
2025-01-29,Wednesday,2025-01-26,Overnight,Buses,823,3.69,2429.5
2025-01-29,Wednesday,2025-01-26,Overnight,Motorcycles,205,1.05,172.2
2025-01-29,Wednesday,2025-01-26,Overnight,TLC Taxi/FHV,42986,1.13,38859.34
2025-01-29,Wednesday,2025-01-26,Peak,Passenger Cars & Vans,238632,9.0,1718150.4
2025-01-29,Wednesday,2025-01-26,Peak,Single-Unit Trucks,20666,14.4,238072.31
2025-01-29,Wednesday,2025-01-26,Peak,Multi-Unit Trucks,1879,21.6,32469.12
2025-01-29,Wednesday,2025-01-26,Peak,Buses,7633,14.76,90130.47
2025-01-29,Wednesday,2025-01-26,Peak,Motorcycles,1545,4.5,5562.0
2025-01-29,Wednesday,2025-01-26,Peak,TLC Taxi/FHV,139579,1.13,126179.42
2025-01-30,Thursday,2025-01-26,Overnight,Passenger Cars & Vans,43671,2.25,78607.8
2025-01-30,Thursday,2025-01-26,Overnight,Single-Unit Trucks,2945,3.6,8481.6
2025-01-30,Thursday,2025-01-26,Overnight,Multi-Unit Trucks,638,5.4,2756.16
